Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID01435,Male,21,Economics,86.8,6.0,3.17,6.1,7,3.65
ID00306,Female,21,Mathematics,77.8,6.0,1.81,5.8,9,2.02
ID01196,Female,21,Psychology,80.3,6.3,2.35,7.4,6,2.71
ID03149,Female,23,Business,77.2,5.0,2.92,7.4,7,3.09
ID03818,Female,23,Psychology,94.2,1.1,3.97,6.5,4,4.0
ID03461,Male,23,Economics,100.0,5.7,2.69,8.2,6,3.11
ID04279,Male,19,Business,89.7,2.1,3.48,8.7,9,3.55
ID04991,Female,23,Economics,85.4,1.9,3.31,7.4,7,3.48
ID02291,Female,23,Computer Science,90.4,2.5,3.45,6.1,9,3.69
ID03710,Female,19,Economics,61.1,4.9,3.34,7.0,8,3.4
ID00865,Male,22,Engineering,100.0,7.8,2.82,5.3,5,3.35
ID00812,Female,22,Mathematics,100.0,3.9,3.22,6.0,9,3.37
ID01455,Male,22,Economics,49.7,5.1,2.37,8.5,7,1.99
ID01794,Female,24,Business,68.3,2.0,2.98,5.6,8,2.66
ID03473,Female,23,Computer Science,79.2,4.8,3.24,8.2,8,3.23
ID00089,Female,22,Mathematics,79.5,2.3,3.4,10.0,12,3.45
ID03324,Female,21,Computer Science,94.9,4.7,2.71,6.2,6,3.06
ID03910,Male,24,Engineering,100.0,3.2,2.98,5.1,5,3.15
ID04834,Male,18,Mathematics,98.0,4.8,2.67,5.1,2,2.98
ID02867,Male,19,Psychology,100.0,3.9,3.48,8.2,6,3.85
ID04050,Male,19,Economics,78.5,8.6,3.23,8.5,5,3.57
ID00780,Female,23,Computer Science,77.4,7.1,3.22,7.6,9,3.31
ID04669,Female,22,Psychology,81.4,2.0,3.21,7.8,10,3.63
ID04386,Female,22,Business,65.3,7.0,2.45,9.8,5,2.74
ID03378,Male,20,Computer Science,86.9,2.8,2.38,6.7,2,2.7
ID02418,Male,24,Mathematics,69.1,11.7,2.49,7.7,4,3.01
ID04285,Female,19,Psychology,100.0,2.8,2.69,8.5,10,2.78
ID02253,Female,24,Economics,76.0,5.2,3.45,7.8,6,3.42
ID00797,Female,22,Engineering,75.8,0.7,3.67,5.9,11,3.64
ID01195,Male,22,Business,80.4,2.9,2.61,7.5,7,2.85
ID00073,Male,18,Psychology,82.7,3.3,3.2,4.3,5,3.38
ID03993,Female,22,Economics,92.4,2.0,3.07,6.1,12,3.32
ID04353,Male,23,Engineering,69.9,7.2,2.36,6.7,6,2.41
ID00019,Male,22,Mathematics,89.4,4.8,3.3,7.4,8,3.75
ID04547,Male,21,Engineering,98.9,2.2,2.19,6.9,11,2.35
ID01890,Female,21,Computer Science,90.1,8.2,3.02,6.9,6,3.57
ID01464,Female,18,Engineering,65.9,2.9,2.91,6.8,8,2.74
ID04088,Female,23,Computer Science,51.6,2.6,2.26,7.4,7,1.78
ID00107,Male,23,Computer Science,90.0,2.2,3.52,6.4,11,3.68
ID04639,Female,20,Business,100.0,2.7,2.92,9.8,9,3.16
ID00577,Male,24,Economics,86.6,2.9,2.84,7.6,7,2.94
ID04077,Male,21,Mathematics,72.5,5.6,3.05,7.5,10,2.98
ID03254,Male,19,Business,88.4,4.5,2.66,6.7,12,2.89
ID03024,Male,24,Engineering,68.1,6.4,3.77,7.7,6,3.96
ID03026,Male,22,Economics,51.6,3.7,4.0,8.5,4,3.74
ID01574,Female,18,Economics,82.1,2.2,3.04,8.0,3,3.39
ID03470,Male,19,Engineering,91.6,3.0,3.36,6.1,8,3.62
ID03493,Female,19,Engineering,49.7,3.0,3.22,7.8,7,2.96
ID00148,Male,19,Business,78.3,5.5,3.41,8.2,9,3.62
ID01080,Female,24,Business,88.4,2.0,3.65,6.4,7,4.0
ID01541,Female,24,Computer Science,71.2,11.6,3.11,7.3,10,3.43
ID03216,Male,19,Computer Science,100.0,4.1,3.5,9.6,9,3.74
ID04442,Female,21,Engineering,70.7,4.2,3.1,10.0,6,3.25
ID04345,Female,21,Business,72.4,6.1,2.93,7.8,7,2.95
ID00978,Male,24,Mathematics,100.0,5.6,4.0,5.0,4,4.0
ID01750,Male,20,Psychology,79.4,8.7,2.49,4.7,9,2.76
ID04729,Female,18,Business,80.6,1.0,3.03,9.8,5,3.08
ID02588,Female,23,Psychology,93.5,6.1,3.67,6.2,9,3.97
ID03635,Male,23,Engineering,81.7,6.9,3.13,5.8,13,3.56
ID01403,Male,18,Mathematics,100.0,2.5,2.69,5.8,8,2.7
ID00857,Male,21,Computer Science,100.0,2.5,2.62,5.8,9,2.82
ID03879,Female,24,Business,64.6,3.3,3.19,8.5,3,3.29
ID04119,Male,18,Mathematics,100.0,2.8,3.48,7.0,8,3.73
ID00298,Male,22,Psychology,96.9,2.7,2.57,6.5,9,2.7
ID04486,Female,21,Psychology,100.0,3.9,3.16,8.5,7,3.6
ID00977,Female,22,Economics,68.7,3.3,2.29,6.6,7,2.31
ID04715,Male,20,Engineering,58.4,1.5,2.39,8.3,4,1.77
ID04733,Female,21,Psychology,86.6,3.2,3.58,6.9,9,3.97
ID01791,Male,24,Economics,80.0,6.6,1.6,5.4,7,2.11
ID03828,Male,20,Engineering,60.7,3.0,3.21,6.5,10,3.23
ID02167,Female,21,Mathematics,84.2,0.9,2.59,4.5,10,2.7
ID01254,Male,19,Psychology,100.0,9.0,3.79,6.9,8,4.0
ID02711,Female,22,Computer Science,100.0,11.1,2.55,8.3,14,3.3
ID02760,Male,22,Psychology,92.3,2.9,4.0,7.7,5,4.0
ID00895,Female,24,Economics,91.3,7.3,2.59,7.8,7,3.19
ID03750,Female,19,Psychology,100.0,2.8,3.34,7.0,6,3.45
ID04174,Male,19,Engineering,65.3,7.8,3.13,5.6,5,3.13
ID03134,Male,19,Engineering,64.4,4.1,3.85,8.0,10,3.91
ID03312,Female,18,Mathematics,68.1,11.1,3.4,7.3,8,3.7
ID04772,Male,19,Computer Science,74.2,4.7,3.29,8.4,7,3.26
ID02886,Female,21,Psychology,100.0,2.6,3.67,8.6,10,3.9
ID00450,Male,24,Business,90.0,2.2,2.77,6.5,8,3.07
ID04992,Female,18,Computer Science,100.0,2.8,3.52,6.1,11,3.71
ID02917,Female,19,Psychology,91.2,1.4,2.58,6.7,7,2.89
ID04181,Male,18,Psychology,82.3,1.9,3.61,6.0,8,3.87
ID03712,Female,19,Economics,94.1,6.6,3.03,5.8,5,3.24
ID04283,Male,20,Computer Science,90.2,1.2,3.0,8.7,7,3.02
ID02476,Female,22,Business,91.1,8.5,3.13,5.4,7,3.63
ID03293,Male,18,Engineering,79.3,4.9,3.23,4.0,11,3.07
ID04738,Male,20,Psychology,66.0,0.7,3.4,8.0,4,3.11
ID01239,Female,18,Psychology,100.0,1.1,3.39,4.6,5,3.62
ID02808,Male,20,Business,99.8,3.2,2.49,6.5,13,2.62
ID04116,Male,20,Engineering,96.8,5.5,3.02,8.5,5,3.2
ID03594,Female,18,Mathematics,81.3,1.6,2.79,6.7,6,3.14
ID03032,Male,23,Business,72.1,8.6,3.11,5.3,7,3.18
ID03480,Male,23,Psychology,97.4,4.1,2.86,5.8,7,3.11
ID03545,Female,24,Engineering,80.1,2.3,2.85,6.1,8,2.92
ID03573,Female,21,Business,100.0,4.3,3.26,7.8,10,3.63
ID03350,Male,20,Computer Science,100.0,4.0,3.0,6.6,7,3.51
